,Store,Dept,Date,Weekly_Sales,IsHoliday
0,1,1,05/02/2010,24924.5,False
1,1,1,12/02/2010,46039.49,True
2,1,1,19/02/2010,41595.55,False
3,1,1,26/02/2010,19403.54,False
4,1,1,05/03/2010,21827.9,False
5,1,1,12/03/2010,21043.39,False
6,1,1,19/03/2010,22136.64,False
7,1,1,26/03/2010,26229.21,False
8,1,1,02/04/2010,57258.43,False
9,1,1,09/04/2010,42960.91,False
10,1,1,16/04/2010,17596.96,False
11,1,1,23/04/2010,16145.35,False
12,1,1,30/04/2010,16555.11,False
13,1,1,07/05/2010,17413.94,False
14,1,1,14/05/2010,18926.74,False
15,1,1,21/05/2010,14773.04,False
16,1,1,28/05/2010,15580.43,False
17,1,1,04/06/2010,17558.09,False
18,1,1,11/06/2010,16637.62,False
19,1,1,18/06/2010,16216.27,False
20,1,1,25/06/2010,16328.72,False
21,1,1,02/07/2010,16333.14,False
22,1,1,09/07/2010,17688.76,False
23,1,1,16/07/2010,17150.84,False
24,1,1,23/07/2010,15360.45,False
25,1,1,30/07/2010,15381.82,False
26,1,1,06/08/2010,17508.41,False
27,1,1,13/08/2010,15536.4,False
28,1,1,20/08/2010,15740.13,False
29,1,1,27/08/2010,15793.87,False
30,1,1,03/09/2010,16241.78,False
31,1,1,10/09/2010,18194.74,True
32,1,1,17/09/2010,19354.23,False
33,1,1,24/09/2010,18122.52,False
34,1,1,01/10/2010,20094.19,False
35,1,1,08/10/2010,23388.03,False
36,1,1,15/10/2010,26978.34,False
37,1,1,22/10/2010,25543.04,False
38,1,1,29/10/2010,38640.93,False
39,1,1,05/11/2010,34238.88,False
40,1,1,12/11/2010,19549.39,False
41,1,1,19/11/2010,19552.84,False
42,1,1,26/11/2010,18820.29,True
43,1,1,03/12/2010,22517.56,False
44,1,1,10/12/2010,31497.65,False
45,1,1,17/12/2010,44912.86,False
46,1,1,24/12/2010,55931.23,False
47,1,1,31/12/2010,19124.58,True
48,1,1,07/01/2011,15984.24,False
49,1,1,14/01/2011,17359.7,False
50,1,1,21/01/2011,17341.47,False
51,1,1,28/01/2011,18461.18,False
52,1,1,04/02/2011,21665.76,False
53,1,1,11/02/2011,37887.17,True
54,1,1,18/02/2011,46845.87,False
55,1,1,25/02/2011,19363.83,False
56,1,1,04/03/2011,20327.61,False
57,1,1,11/03/2011,21280.4,False
58,1,1,18/03/2011,20334.23,False
59,1,1,25/03/2011,20881.1,False
60,1,1,01/04/2011,20398.09,False
61,1,1,08/04/2011,23873.79,False
62,1,1,15/04/2011,28762.37,False
63,1,1,22/04/2011,50510.31,False
64,1,1,29/04/2011,41512.39,False
65,1,1,06/05/2011,20138.19,False
66,1,1,13/05/2011,17235.15,False
67,1,1,20/05/2011,15136.78,False
68,1,1,27/05/2011,15741.6,False
69,1,1,03/06/2011,16434.15,False
70,1,1,10/06/2011,15883.52,False
71,1,1,17/06/2011,14978.09,False
72,1,1,24/06/2011,15682.81,False
73,1,1,01/07/2011,15363.5,False
74,1,1,08/07/2011,16148.87,False
75,1,1,15/07/2011,15654.85,False
76,1,1,22/07/2011,15766.6,False
77,1,1,29/07/2011,15922.41,False
78,1,1,05/08/2011,15295.55,False
79,1,1,12/08/2011,14539.79,False
80,1,1,19/08/2011,14689.24,False
81,1,1,26/08/2011,14537.37,False
82,1,1,02/09/2011,15277.27,False
83,1,1,09/09/2011,17746.68,True
84,1,1,16/09/2011,18535.48,False
85,1,1,23/09/2011,17859.3,False
86,1,1,30/09/2011,18337.68,False
87,1,1,07/10/2011,20797.58,False
88,1,1,14/10/2011,23077.55,False
89,1,1,21/10/2011,23351.8,False
